0,1,2,3,4
"Census Tract 2615, Allegheny County, Pennsylvania",1478,42,003,261500
"Census Tract 2620, Allegheny County, Pennsylvania",2579,42,003,262000
"Census Tract 2701, Allegheny County, Pennsylvania",2451,42,003,270100
"Census Tract 2703, Allegheny County, Pennsylvania",2002,42,003,270300
"Census Tract 2704, Allegheny County, Pennsylvania",996,42,003,270400
"Census Tract 2708, Allegheny County, Pennsylvania",2506,42,003,270800
"Census Tract 2715, Allegheny County, Pennsylvania",2705,42,003,271500
"Census Tract 2814, Allegheny County, Pennsylvania",2546,42,003,281400
"Census Tract 2815, Allegheny County, Pennsylvania",1381,42,003,281500
"Census Tract 2901, Allegheny County, Pennsylvania",2066,42,003,290100
"Census Tract 2902, Allegheny County, Pennsylvania",3903,42,003,290200
"Census Tract 2904, Allegheny County, Pennsylvania",3969,42,003,290400
"Census Tract 3001, Allegheny County, Pennsylvania",4210,42,003,300100
"Census Tract 3102, Allegheny County, Pennsylvania",3588,42,003,310200
"Census Tract 3103, Allegheny County, Pennsylvania",986,42,003,310300
"Census Tract 3204, Allegheny County, Pennsylvania",2114,42,003,320400
"Census Tract 3206, Allegheny County, Pennsylvania",2188,42,003,320600
"Census Tract 3207, Allegheny County, Pennsylvania",1436,42,003,320700
"Census Tract 4011, Allegheny County, Pennsylvania",4669,42,003,401100
"Census Tract 4012, Allegheny County, Pennsylvania",2967,42,003,401200
"Census Tract 4013, Allegheny County, Pennsylvania",2822,42,003,401300
"Census Tract 4020, Allegheny County, Pennsylvania",3220,42,003,402000
"Census Tract 4035, Allegheny County, Pennsylvania",4481,42,003,403500
"Census Tract 4040, Allegheny County, Pennsylvania",1407,42,003,404000
"Census Tract 4050, Allegheny County, Pennsylvania",1084,42,003,405000
"Census Tract 4060, Allegheny County, Pennsylvania",2366,42,003,406000
"Census Tract 4070.01, Allegheny County, Pennsylvania",5098,42,003,407001
"Census Tract 4070.02, Allegheny County, Pennsylvania",6802,42,003,407002
"Census Tract 4080.01, Allegheny County, Pennsylvania",5301,42,003,408001
"Census Tract 4080.02, Allegheny County, Pennsylvania",6188,42,003,408002
"Census Tract 4090, Allegheny County, Pennsylvania",12477,42,003,409000
"Census Tract 4100, Allegheny County, Pennsylvania",1230,42,003,410000
"Census Tract 4110, Allegheny County, Pennsylvania",7914,42,003,411000
"Census Tract 4120.01, Allegheny County, Pennsylvania",8875,42,003,412001
"Census Tract 4120.02, Allegheny County, Pennsylvania",5353,42,003,412002
