0,1,2,3,4
NAME,S0801_C01_046E,state,county,tract
"Census Tract 2609, Allegheny County, Pennsylvania",29.7,42,003,260900
"Census Tract 2612, Allegheny County, Pennsylvania",20.5,42,003,261200
"Census Tract 2614, Allegheny County, Pennsylvania",26.6,42,003,261400
"Census Tract 2615, Allegheny County, Pennsylvania",28.6,42,003,261500
"Census Tract 2620, Allegheny County, Pennsylvania",22.5,42,003,262000
"Census Tract 2701, Allegheny County, Pennsylvania",21.4,42,003,270100
"Census Tract 2703, Allegheny County, Pennsylvania",22.4,42,003,270300
"Census Tract 2704, Allegheny County, Pennsylvania",20.4,42,003,270400
"Census Tract 2708, Allegheny County, Pennsylvania",23.1,42,003,270800
"Census Tract 2715, Allegheny County, Pennsylvania",26.4,42,003,271500
"Census Tract 2814, Allegheny County, Pennsylvania",25.4,42,003,281400
"Census Tract 2815, Allegheny County, Pennsylvania",24.6,42,003,281500
"Census Tract 2901, Allegheny County, Pennsylvania",27.4,42,003,290100
"Census Tract 2902, Allegheny County, Pennsylvania",27.1,42,003,290200
"Census Tract 2904, Allegheny County, Pennsylvania",30.2,42,003,290400
"Census Tract 3001, Allegheny County, Pennsylvania",29.6,42,003,300100
"Census Tract 3102, Allegheny County, Pennsylvania",27.8,42,003,310200
"Census Tract 3103, Allegheny County, Pennsylvania",26.5,42,003,310300
"Census Tract 3204, Allegheny County, Pennsylvania",26.5,42,003,320400
"Census Tract 3206, Allegheny County, Pennsylvania",26.7,42,003,320600
"Census Tract 3207, Allegheny County, Pennsylvania",28.3,42,003,320700
"Census Tract 4011, Allegheny County, Pennsylvania",20.3,42,003,401100
"Census Tract 4012, Allegheny County, Pennsylvania",20.5,42,003,401200
"Census Tract 4013, Allegheny County, Pennsylvania",27.4,42,003,401300
"Census Tract 4020, Allegheny County, Pennsylvania",24.6,42,003,402000
"Census Tract 4035, Allegheny County, Pennsylvania",29.0,42,003,403500
"Census Tract 4040, Allegheny County, Pennsylvania",23.8,42,003,404000
"Census Tract 4050, Allegheny County, Pennsylvania",24.2,42,003,405000
"Census Tract 4060, Allegheny County, Pennsylvania",28.5,42,003,406000
"Census Tract 4070.01, Allegheny County, Pennsylvania",35.3,42,003,407001
"Census Tract 4070.02, Allegheny County, Pennsylvania",30.6,42,003,407002
"Census Tract 4080.01, Allegheny County, Pennsylvania",27.3,42,003,408001
"Census Tract 4080.02, Allegheny County, Pennsylvania",29.2,42,003,408002
"Census Tract 4090, Allegheny County, Pennsylvania",30.6,42,003,409000
"Census Tract 4100, Allegheny County, Pennsylvania",29.2,42,003,410000
