0,1,2,3,4
"Census Tract 4020, Allegheny County, Pennsylvania",1573,42,003,402000
"Census Tract 4035, Allegheny County, Pennsylvania",2249,42,003,403500
"Census Tract 4040, Allegheny County, Pennsylvania",794,42,003,404000
"Census Tract 4050, Allegheny County, Pennsylvania",556,42,003,405000
"Census Tract 4060, Allegheny County, Pennsylvania",1127,42,003,406000
"Census Tract 4070.01, Allegheny County, Pennsylvania",2446,42,003,407001
"Census Tract 4070.02, Allegheny County, Pennsylvania",3408,42,003,407002
"Census Tract 4080.01, Allegheny County, Pennsylvania",2699,42,003,408001
"Census Tract 4080.02, Allegheny County, Pennsylvania",2885,42,003,408002
"Census Tract 4090, Allegheny County, Pennsylvania",6300,42,003,409000
"Census Tract 4100, Allegheny County, Pennsylvania",667,42,003,410000
"Census Tract 4110, Allegheny County, Pennsylvania",4034,42,003,411000
"Census Tract 4120.01, Allegheny County, Pennsylvania",4572,42,003,412001
"Census Tract 4120.02, Allegheny County, Pennsylvania",2739,42,003,412002
"Census Tract 4131, Allegheny County, Pennsylvania",3509,42,003,413100
"Census Tract 4132.01, Allegheny County, Pennsylvania",1610,42,003,413201
"Census Tract 4132.02, Allegheny County, Pennsylvania",1279,42,003,413202
"Census Tract 4133, Allegheny County, Pennsylvania",2225,42,003,413300
"Census Tract 4134, Allegheny County, Pennsylvania",2006,42,003,413400
"Census Tract 4135, Allegheny County, Pennsylvania",3308,42,003,413500
"Census Tract 4141.01, Allegheny County, Pennsylvania",2785,42,003,414101
"Census Tract 4141.02, Allegheny County, Pennsylvania",3402,42,003,414102
"Census Tract 4142, Allegheny County, Pennsylvania",2607,42,003,414200
"Census Tract 4150.01, Allegheny County, Pennsylvania",2352,42,003,415001
"Census Tract 4150.02, Allegheny County, Pennsylvania",1220,42,003,415002
"Census Tract 4160, Allegheny County, Pennsylvania",813,42,003,416000
"Census Tract 4171, Allegheny County, Pennsylvania",950,42,003,417100
"Census Tract 4172, Allegheny County, Pennsylvania",514,42,003,417200
"Census Tract 4180, Allegheny County, Pennsylvania",886,42,003,418000
"Census Tract 4190, Allegheny County, Pennsylvania",1363,42,003,419000
"Census Tract 4200, Allegheny County, Pennsylvania",847,42,003,420000
"Census Tract 4211, Allegheny County, Pennsylvania",2051,42,003,421100
"Census Tract 4212, Allegheny County, Pennsylvania",2176,42,003,421200
"Census Tract 4220, Allegheny County, Pennsylvania",2636,42,003,422000
"Census Tract 4230, Allegheny County, Pennsylvania",1271,42,003,423000
"Census Tract 4240, Allegheny County, Pennsylvania",1778,42,003,424000
"Census Tract 4250, Allegheny County, Pennsylvania",1776,42,003,425000
"Census Tract 4263, Allegheny County, Pennsylvania",2990,42,003,426300
"Census Tract 4264, Allegheny County, Pennsylvania",1995,42,003,426400
"Census Tract 4267, Allegheny County, Pennsylvania",1090,42,003,426700
"Census Tract 4268, Allegheny County, Pennsylvania",2685,42,003,426800
"Census Tract 4270, Allegheny County, Pennsylvania",1899,42,003,427000
"Census Tract 4271, Allegheny County, Pennsylvania",2723,42,003,427100
"Census Tract 4272, Allegheny County, Pennsylvania",2541,42,003,427200
"Census Tract 4281, Allegheny County, Pennsylvania",575,42,003,428100
"Census Tract 4282, Allegheny County, Pennsylvania",1079,42,003,428200
"Census Tract 4291, Allegheny County, Pennsylvania",1354,42,003,429100
"Census Tract 4292.01, Allegheny County, Pennsylvania",2083,42,003,429201
"Census Tract 4292.02, Allegheny County, Pennsylvania",2147,42,003,429202
"Census Tract 4293, Allegheny County, Pennsylvania",2585,42,003,429300
"Census Tract 4294, Allegheny County, Pennsylvania",2127,42,003,429400
"Census Tract 4295, Allegheny County, Pennsylvania",1919,42,003,429500
"Census Tract 4296, Allegheny County, Pennsylvania",1426,42,003,429600
"Census Tract 4297, Allegheny County, Pennsylvania",1060,42,003,429700
"Census Tract 4301, Allegheny County, Pennsylvania",987,42,003,430100
"Census Tract 4302, Allegheny County, Pennsylvania",2390,42,003,430200
"Census Tract 4311, Allegheny County, Pennsylvania",1550,42,003,431100
