tract,male_female_ratio,total_pop,median_age,median_income,mean_travel_time
427000,1.05,3714,40.6,35496,25.6
427100,0.98,5489,47.4,78393,25.9
427200,1.04,4989,43.1,51315,23.7
428100,0.98,1163,48.5,54712,21.5
428200,1.01,2144,45.8,65000,21.7
429100,1.00,2703,40.2,68244,23.3
429201,0.92,4357,45.3,81033,25.8
429202,0.92,4469,42.4,72861,23.4
429300,0.93,5372,53.3,71890,25.4
429400,0.89,4513,40.2,68780,24.9
429500,0.89,4083,50.5,60506,25.2
429600,0.86,3077,37.3,58423,26
429700,0.77,2430,47.3,46071,23.2
430100,0.89,2100,34.9,54625,21.8
430200,1.08,4604,38.9,58218,23.2
431100,0.88,3317,36.3,41118,28.2
431400,0.95,1900,38.1,45882,25.9
431500,0.88,3068,43.2,38079,25.8
432300,0.74,2058,52.4,39265,27.6
432400,0.78,2608,38,39720,25.3
434000,0.85,1774,40,91250,26.8
435000,1.06,2443,38.7,55399,26
437000,1.00,5937,36.5,105919,26.1
439000,1.04,1422,46.8,92083,28.2
445500,0.92,3852,42.6,69625,25.1
446000,0.83,1639,45.2,154545,24.2
447000,0.89,1622,43.3,80192,27.8
448000,0.92,1287,42.2,46389,30.5
449000,0.91,2607,45,65179,26.7
450700,0.93,3146,39.7,42585,21.9
450800,0.98,2471,48.6,35722,23.4
451101,0.97,3733,42.7,81771,22.5
451102,1.04,5689,30.8,56375,25.4
451104,0.97,3546,40.9,103088,28
451105,1.12,5128,32.2,55081,26.6
451300,0.97,7339,44.5,106567,22.3
452000,0.89,5396,41.3,75968,24.7
453003,0.83,1912,44.3,57375,23.7
453004,0.98,7027,37.5,75297,24.7
455000,1.03,1508,47.1,58618,23.7
456001,0.97,3372,41.4,80050,24.2
456003,0.85,7230,38.1,94356,30.2
456004,0.86,4681,47,60740,23.5
457100,0.89,1516,43,40878,23.5
457200,0.89,3601,46.4,49545,23
458000,1.05,7755,49.9,68542,27.3
459101,0.90,1733,44.5,65000,23.5
459102,0.92,5917,47.6,93135,24
459201,1.06,6026,40.8,77388,25.8
459202,0.72,738,36.9,54779,24.3
460001,0.89,4653,48.8,64730,26.6
460002,0.95,3354,49.7,70060,24.9
461000,1.11,1145,47.1,44375,20.2
462100,0.91,2790,40.5,33333,20.8
462600,0.94,3499,36.3,36132,29.4
463900,1.03,2561,40.7,35804,20.8
464300,1.09,3294,41.9,48490,24.9
464400,0.92,3485,32.5,25971,25.8
465600,0.92,2468,38.3,39601,24
465800,0.97,3431,41.1,57480,29.2
468700,1.12,1634,47.3,47857,23.5
468800,1.03,2396,34.6,41625,25
468900,0.90,3914,33.6,42684,23.9
469000,0.79,4749,47.3,72604,24.3
470300,0.79,3885,51.7,65105,24.9
470400,0.92,2949,50.7,62697,24.4
470501,1.15,3619,33.8,65592,28.2
470502,0.87,3041,50.7,74574,28.9
470600,0.90,3420,37.8,48893,25.7
471000,0.90,1314,42.7,43333,24.6
472100,0.95,2382,37.9,49309,26.9
472200,0.93,2321,34.5,76094,29.4
472300,0.95,1920,34.4,46193,27.2
472400,0.86,1868,39.1,78886,26.5
473100,1.02,4623,40.5,73407,25.1
473200,0.89,2966,44.9,55833,26.7
473300,0.82,5629,44.3,85330,26.8
473401,0.90,3759,40.5,66848,28.4
473402,0.99,3609,44.4,97841,26.5
473500,1.00,3963,43,126960,30.5
473601,0.84,3821,46.6,107109,26.2
473602,0.94,4495,51.5,85909,29.6
474101,1.02,3620,42.8,94236,29.4
474102,0.88,3718,42.4,105990,31.9
474201,0.91,2528,47.2,109700,31
474202,1.03,5021,45.6,122361,30.3
474203,1.01,4634,42.5,106500,33.1
475101,0.90,4623,49,60112,28.1
475102,0.92,1555,46.6,72292,30
475200,0.92,4748,44.4,75757,30.8
475301,0.99,4668,45.3,57674,30
475303,0.94,3948,47.5,80213,33.7
475304,0.87,5610,45,83311,30.7
475401,0.89,3964,46.3,71042,34
475402,0.92,3106,45.3,83868,36.2
476100,1.09,4852,39,46341,33
476200,0.93,3436,43.9,59063,26.8
477100,0.75,3511,47.2,65408,30.3
477200,0.86,4156,52.1,60495,30.9
477300,0.91,6206,41,49866,31.6
478100,0.90,4132,38.5,46667,32.5
478200,0.91,5418,35.7,58383,30.8
479000,1.05,1972,46,60595,25.8
480101,0.88,5152,34.5,44854,31.2
480102,1.01,3184,50.4,58846,29.1
480200,0.83,3318,43.6,62153,25.9
480300,1.00,3470,40.6,64205,32.3
480400,0.93,4670,50.9,59618,27.6
481000,0.86,3362,32.3,33750,29.7
482500,0.81,1720,50,49219,25.5
483800,0.84,3142,39.4,24703,28.2
484300,0.99,3521,36,38542,25.2
484500,0.99,5631,47.9,54026,24.9
484600,0.68,2153,41.8,47719,26.4
485000,1.19,1165,40.2,39167,26.3
486700,0.86,2185,32,17331,32.1
486800,0.98,1881,35.4,24844,25
486900,0.83,1468,31.8,26768,25
487000,0.87,1741,50.9,41314,25.8
488100,1.14,2290,45,51445,29.3
488200,0.84,3487,39.4,43241,28.3
488300,0.89,2127,48.9,57216,29.3
488400,0.82,4355,48.5,43770,27.8
488500,0.82,3017,44.3,51934,26.6
488600,0.87,4877,46.8,58456,27.9
489001,0.88,4427,49.8,56316,34.3
489002,0.89,3844,43.2,78849,30
490002,0.92,4776,43.8,50326,26.4
490003,1.04,3838,44.6,82500,31.7
490004,1.02,4856,44.4,81196,33.7
491101,0.98,6785,41.1,90083,33.4
491200,0.85,1960,47.9,59779,25.1
492700,1.09,2029,37.9,35833,29.2
492800,0.79,2471,48,25488,31.7
492900,0.91,2219,35,37866,30.5
494000,0.86,1437,44.8,37014,27.3
495000,1.00,3354,49,51122,29.1
496101,1.00,3153,47.9,71769,31.3
496102,0.94,4369,47.4,61231,32.3
496200,0.77,5724,44.5,51250,27.8
497000,1.22,1040,49,54833,26.3
498000,0.90,2554,45.9,51892,28.4
499300,0.85,1634,45,41992,24.8
499400,0.99,2810,39.4,36413,23.5
500300,0.88,3754,42.4,44068,28.8
501000,0.81,1650,47,30324,26.9
503002,0.82,6025,52.9,52075,26.4
504100,0.83,5381,39.3,39592,29.2
507000,0.94,2111,42.6,41081,22.1
508000,0.62,1911,35.6,25536,29
509400,0.80,5292,40.9,33345,26.4
510000,0.85,1844,31.9,25697,27.2
512000,0.95,2389,42.4,32190,25.6
512800,0.77,1478,36.9,19517,33.2
512900,1.02,943,41.5,21500,29
513800,0.87,1841,46.4,24551,33
514000,0.77,2274,32.3,25117,35.6
515100,0.77,2671,38.8,34063,32.4
515200,0.75,2353,38.8,46304,28.5
515300,0.83,1728,43.7,27396,24.4
515401,0.90,2141,42.2,55313,27.7
516100,0.91,1380,37.9,83203,26.7
516200,0.88,1700,35,68333,26.4
517000,1.02,1674,50.6,31000,23.9
518001,0.84,3294,52.4,80893,29.3
519000,0.85,2990,55.5,88605,27.4
520001,0.96,3131,51,57500,31.6
520002,1.04,3180,39.3,49663,28.3
