"","NAME","state","county","tract","B05004_001E"
"85","Census Tract 2507, Allegheny County, Pennsylvania","42","003","250700",34.2
"86","Census Tract 2509, Allegheny County, Pennsylvania","42","003","250900",37.3
"87","Census Tract 2602, Allegheny County, Pennsylvania","42","003","260200",37.5
"88","Census Tract 2607, Allegheny County, Pennsylvania","42","003","260700",41.1
"89","Census Tract 2609, Allegheny County, Pennsylvania","42","003","260900",21.9
"90","Census Tract 2612, Allegheny County, Pennsylvania","42","003","261200",43.9
"91","Census Tract 2614, Allegheny County, Pennsylvania","42","003","261400",46.8
"92","Census Tract 2615, Allegheny County, Pennsylvania","42","003","261500",38.2
"93","Census Tract 2620, Allegheny County, Pennsylvania","42","003","262000",35.9
"94","Census Tract 2701, Allegheny County, Pennsylvania","42","003","270100",38.3
"95","Census Tract 2703, Allegheny County, Pennsylvania","42","003","270300",45.3
"96","Census Tract 2704, Allegheny County, Pennsylvania","42","003","270400",41.1
"97","Census Tract 2708, Allegheny County, Pennsylvania","42","003","270800",47.5
"98","Census Tract 2715, Allegheny County, Pennsylvania","42","003","271500",30.7
"99","Census Tract 2814, Allegheny County, Pennsylvania","42","003","281400",33.5
"100","Census Tract 2815, Allegheny County, Pennsylvania","42","003","281500",38.8
"101","Census Tract 2901, Allegheny County, Pennsylvania","42","003","290100",37.1
"102","Census Tract 2902, Allegheny County, Pennsylvania","42","003","290200",36.8
"103","Census Tract 2904, Allegheny County, Pennsylvania","42","003","290400",38.5
"104","Census Tract 3001, Allegheny County, Pennsylvania","42","003","300100",29.6
"105","Census Tract 3102, Allegheny County, Pennsylvania","42","003","310200",45.3
"106","Census Tract 3103, Allegheny County, Pennsylvania","42","003","310300",43.8
"107","Census Tract 3204, Allegheny County, Pennsylvania","42","003","320400",40.4
"108","Census Tract 3206, Allegheny County, Pennsylvania","42","003","320600",38.4
"109","Census Tract 3207, Allegheny County, Pennsylvania","42","003","320700",43.3
"110","Census Tract 4011, Allegheny County, Pennsylvania","42","003","401100",43.3
"111","Census Tract 4012, Allegheny County, Pennsylvania","42","003","401200",44.7
"112","Census Tract 4013, Allegheny County, Pennsylvania","42","003","401300",45.7
"113","Census Tract 4020, Allegheny County, Pennsylvania","42","003","402000",38.5
"114","Census Tract 4035, Allegheny County, Pennsylvania","42","003","403500",36.6
"115","Census Tract 4040, Allegheny County, Pennsylvania","42","003","404000",41
"116","Census Tract 4050, Allegheny County, Pennsylvania","42","003","405000",49.1
"117","Census Tract 4060, Allegheny County, Pennsylvania","42","003","406000",50.9
"118","Census Tract 4070.01, Allegheny County, Pennsylvania","42","003","407001",44.5
"119","Census Tract 4070.02, Allegheny County, Pennsylvania","42","003","407002",44.7
"120","Census Tract 4080.01, Allegheny County, Pennsylvania","42","003","408001",44.1
"121","Census Tract 4080.02, Allegheny County, Pennsylvania","42","003","408002",41.8
"122","Census Tract 4090, Allegheny County, Pennsylvania","42","003","409000",41.4
"123","Census Tract 4100, Allegheny County, Pennsylvania","42","003","410000",46.6
"124","Census Tract 4110, Allegheny County, Pennsylvania","42","003","411000",41.7
"125","Census Tract 4120.01, Allegheny County, Pennsylvania","42","003","412001",43.1
"126","Census Tract 4120.02, Allegheny County, Pennsylvania","42","003","412002",42.6
"127","Census Tract 4131, Allegheny County, Pennsylvania","42","003","413100",41
"128","Census Tract 4132.01, Allegheny County, Pennsylvania","42","003","413201",45.6
"129","Census Tract 4132.02, Allegheny County, Pennsylvania","42","003","413202",46.7
"130","Census Tract 4133, Allegheny County, Pennsylvania","42","003","413300",47.3
"131","Census Tract 4134, Allegheny County, Pennsylvania","42","003","413400",47
"132","Census Tract 4135, Allegheny County, Pennsylvania","42","003","413500",40
"133","Census Tract 4141.01, Allegheny County, Pennsylvania","42","003","414101",45.2
"134","Census Tract 4141.02, Allegheny County, Pennsylvania","42","003","414102",45.3
"135","Census Tract 4142, Allegheny County, Pennsylvania","42","003","414200",45.6
"136","Census Tract 4150.01, Allegheny County, Pennsylvania","42","003","415001",44.3
"137","Census Tract 4150.02, Allegheny County, Pennsylvania","42","003","415002",50.1
"138","Census Tract 4160, Allegheny County, Pennsylvania","42","003","416000",51.7
"139","Census Tract 4171, Allegheny County, Pennsylvania","42","003","417100",50
"140","Census Tract 4172, Allegheny County, Pennsylvania","42","003","417200",45.3
"141","Census Tract 4180, Allegheny County, Pennsylvania","42","003","418000",49.8
"142","Census Tract 4190, Allegheny County, Pennsylvania","42","003","419000",55.9
"143","Census Tract 4200, Allegheny County, Pennsylvania","42","003","420000",36.8
"144","Census Tract 4211, Allegheny County, Pennsylvania","42","003","421100",49
"145","Census Tract 4212, Allegheny County, Pennsylvania","42","003","421200",48.3
"146","Census Tract 4220, Allegheny County, Pennsylvania","42","003","422000",48.8
"147","Census Tract 4230, Allegheny County, Pennsylvania","42","003","423000",37.9
"148","Census Tract 4240, Allegheny County, Pennsylvania","42","003","424000",42.7
"149","Census Tract 4250, Allegheny County, Pennsylvania","42","003","425000",36.4
"150","Census Tract 4263, Allegheny County, Pennsylvania","42","003","426300",44.2
"151","Census Tract 4264, Allegheny County, Pennsylvania","42","003","426400",46.2
"152","Census Tract 4267, Allegheny County, Pennsylvania","42","003","426700",49.6
"153","Census Tract 4268, Allegheny County, Pennsylvania","42","003","426800",47.9
"154","Census Tract 4270, Allegheny County, Pennsylvania","42","003","427000",40.6
"155","Census Tract 4271, Allegheny County, Pennsylvania","42","003","427100",47.4
"156","Census Tract 4272, Allegheny County, Pennsylvania","42","003","427200",43.1
"157","Census Tract 4281, Allegheny County, Pennsylvania","42","003","428100",48.5
"158","Census Tract 4282, Allegheny County, Pennsylvania","42","003","428200",45.8
"159","Census Tract 4291, Allegheny County, Pennsylvania","42","003","429100",40.2
"160","Census Tract 4292.01, Allegheny County, Pennsylvania","42","003","429201",45.3
"161","Census Tract 4292.02, Allegheny County, Pennsylvania","42","003","429202",42.4
"162","Census Tract 4293, Allegheny County, Pennsylvania","42","003","429300",53.3
"163","Census Tract 4294, Allegheny County, Pennsylvania","42","003","429400",40.2
"164","Census Tract 4295, Allegheny County, Pennsylvania","42","003","429500",50.5
"165","Census Tract 4296, Allegheny County, Pennsylvania","42","003","429600",37.3
"166","Census Tract 4297, Allegheny County, Pennsylvania","42","003","429700",47.3
"167","Census Tract 4301, Allegheny County, Pennsylvania","42","003","430100",34.9
"168","Census Tract 4302, Allegheny County, Pennsylvania","42","003","430200",38.9
"169","Census Tract 4311, Allegheny County, Pennsylvania","42","003","431100",36.3
"170","Census Tract 4314, Allegheny County, Pennsylvania","42","003","431400",38.1
"171","Census Tract 4315, Allegheny County, Pennsylvania","42","003","431500",43.2
"172","Census Tract 4323, Allegheny County, Pennsylvania","42","003","432300",52.4
