NAME,total_pop,male_pop,female_pop,median_age,median_income,state,county,tract,male_percent,female_percent,mean_travel_time,total_commute,car_truck_van,car_truck_van_alone,car_truck_van_carpooled,public_transport,walked,bycicle
"Census Tract 1102, Allegheny County, Pennsylvania",4326,2184,2142,35.7,51563,42,3,110200,0.504854369,0.495145631,25.2,2365,62.3,50.5,11.8,26.6,5.5,2.3
"Census Tract 1106, Allegheny County, Pennsylvania",2559,1205,1354,36.2,65104,42,3,110600,0.470887065,0.529112935,23.4,1245,74.4,72.1,2.2,9.8,0.7,9.4
"Census Tract 1113, Allegheny County, Pennsylvania",2698,1329,1369,34.3,37114,42,3,111300,0.492587102,0.507412898,28.7,1433,60.1,51.6,8.5,19.1,5,6
"Census Tract 1114, Allegheny County, Pennsylvania",1388,605,783,36.2,26518,42,3,111400,0.435878963,0.564121037,27.6,585,48.4,43.9,4.4,34.9,13.3,0.5
"Census Tract 1115, Allegheny County, Pennsylvania",3000,1196,1804,30.9,24073,42,3,111500,0.398666667,0.601333333,21.7,1322,57.5,46.8,10.7,30.9,9.5,1.9
"Census Tract 1203, Allegheny County, Pennsylvania",1661,728,933,43.9,29444,42,3,120300,0.438290187,0.561709813,29.1,583,58.7,50.4,8.2,40.7,0,0
"Census Tract 1204, Allegheny County, Pennsylvania",694,328,366,42.1,16786,42,3,120400,0.472622478,0.527377522,31.3,185,43.2,28.1,15.1,50.3,6.5,0
"Census Tract 1207, Allegheny County, Pennsylvania",863,327,536,54.1,24083,42,3,120700,0.378910776,0.621089224,19.4,280,54.3,35.7,18.6,32.1,13.2,0
"Census Tract 1208, Allegheny County, Pennsylvania",758,399,359,53.3,26875,42,3,120800,0.526385224,0.473614776,34.7,124,62.1,56.5,5.6,29.8,6.5,0
"Census Tract 1301, Allegheny County, Pennsylvania",1757,737,1020,28.1,16250,42,3,130100,0.419464997,0.580535003,24.8,459,60.6,51.4,9.2,22.9,7.4,0
"Census Tract 1302, Allegheny County, Pennsylvania",1518,585,933,27.5,32650,42,3,130200,0.385375494,0.614624506,29,401,48.4,48.4,0,37.7,14,0
"Census Tract 1303, Allegheny County, Pennsylvania",1413,535,878,43.4,16200,42,3,130300,0.378627035,0.621372965,25.7,412,40.5,38.8,1.7,42.2,1.9,0
"Census Tract 1304, Allegheny County, Pennsylvania",1069,438,631,32.6,24141,42,3,130400,0.409728718,0.590271282,24.4,314,48.1,43,5.1,24.5,22,0
"Census Tract 1306, Allegheny County, Pennsylvania",2804,1159,1645,38.2,22465,42,3,130600,0.413338088,0.586661912,30.1,916,59.2,51.5,7.6,20.2,4.9,0
"Census Tract 1401, Allegheny County, Pennsylvania",5367,2901,2466,20.5,164886,42,3,140100,0.540525433,0.459474567,16.1,2052,40.7,34.9,5.8,7.6,37.5,1.6
"Census Tract 1402, Allegheny County, Pennsylvania",2481,1024,1457,26.4,66250,42,3,140200,0.4127368,0.5872632,19,1245,47.6,43,4.6,17.3,22.4,2.1
"Census Tract 1403, Allegheny County, Pennsylvania",3629,1848,1781,33.9,106175,42,3,140300,0.509231193,0.490768807,20.6,2007,71,64,7,14.8,4,1.7
"Census Tract 1404, Allegheny County, Pennsylvania",2355,1109,1246,42.5,129432,42,3,140400,0.470912951,0.529087049,21.1,1326,66.5,57.5,9,6.4,8.2,10.8
